Hello|Xin chào|Hello, how are you?
Computer|Máy tính|I love my computer.
School|Trường học|I go to school every day.
Accommodate|Cung cấp chỗ ở, đáp ứng|The hotel can accommodate up to 500 guests.
Adhere to|Tuân thủ|All staff must adhere to the safety regulations.
Agenda|Chương trình nghị sự|The next item on the agenda is the budget.
Ambitious|Tham vọng|He has an ambitious plan to expand the business.
Approve|Phê duyệt|The manager approved the budget for the project.
Asset|Tài sản|Good employees are a company's most valuable asset.
Brief|Tóm tắt|The CEO gave a brief presentation about the merger.
Collaboration|Sự hợp tác|The project was a collaboration between two teams.
Commitment|Sự cam kết|We are looking for someone with a long-term commitment.
Comply with|Tuân theo|Companies must comply with environmental laws.
Conduct|Tiến hành|The firm will conduct a survey on customer habits.
Consequence|Hậu quả|Failure to meet the deadline will have serious consequences.
Consult|Tham vấn, hỏi ý kiến|You should consult a lawyer before signing the contract.
Curriculum vitae|Sơ yếu lý lịch|Please send your curriculum vitae to our HR department.
Deadline|Hạn chót|We are working hard to meet the deadline.
Deficit|Sự thâm hụt|The company is facing a large budget deficit.
Delegate|Ủy thác, giao việc|A good manager knows how to delegate tasks.
Designate|Chỉ định|This area has been designated as a no-smoking zone.
Discard|Loại bỏ|Please discard any outdated documents.
Disrupt|Gián đoạn|The strike disrupted the city's transport system.
Drastic|Quyết liệt|The company took drastic measures to reduce costs.
Eligible|Đủ điều kiện|Only full-time employees are eligible for the bonus.
Emphasize|Nhấn mạnh|The report emphasizes the importance of training.
Evaluate|Đánh giá|We need to evaluate the success of the campaign.
Exceed|Vượt quá|The results exceeded our expectations.
Expedite|Xúc tiến, làm nhanh hơn|We need to expedite the shipping process.
Fluctuate|Dao động|Oil prices tend to fluctuate throughout the year.
Identify|Xác định|The system can identify potential security threats.
Implement|Triển khai|The new policy will be implemented next month.
Incentive|Sự khích lệ, ưu đãi|The company offers a financial incentive for early retirement.
Innovation|Sự đổi mới|Innovation is the key to our company's success.
Inventory|Hàng tồn kho|We need to do an inventory check this weekend.
Mandatory|Bắt buộc|Attendance at the meeting is mandatory.
Merger|Sự sáp nhập|The merger of the two banks was announced today.
Negotiate|Thương lượng|We are trying to negotiate a better deal.
Notify|Thông báo|Please notify us of any changes to your address.
Objective|Mục tiêu|Our primary objective is to increase sales.
Obstacle|Trở ngại|The lack of funding is a major obstacle to the project.
Overlook|Bỏ qua, lờ đi|I think we overlooked one important detail.
Participate|Tham gia|Everyone is encouraged to participate in the discussion.
Priority|Sự ưu tiên|Customer service is our top priority.
